Test,Mean,Deviation,Count
Sestoft Multiply,55.331,25.255,8388608
Primes,10082.302,4599.860,32768
RandomizeArray,4659.930,2124.377,65536
GameOfLife,302926.016,138206.135,1024
InvasionPercolation,80307.485,36473.288,4096
FibonacciRecursive,184.266,84.105,2097152
FibonacciIterative,154.831,70.665,2097152
ScaleVector2D,104.181,47.548,4194304
ScaleVector3D,99.165,45.260,4194304
MultiplyVector2D,91.320,41.681,4194304
MultiplyVector3D,93.564,42.705,4194304
TranslateVector2D,87.483,39.928,4194304
TranslateVector3D,91.482,41.755,4194304
SubtractVector2D,110.733,50.539,4194304
SubtractVector3D,106.543,48.629,4194304
LengthVector2D,68.253,31.152,8388608
LengthVector3D,71.817,32.778,4194304
DotProductVector2D,45.737,20.856,8388608
DotProductVector3D,50.839,23.074,8388608
