Test,Mean,Deviation,Count
MapReduce Array,1298.441,19.357,262144
MapReduce Array,1378.750,102.925,262144
MapReduce Array,1295.649,12.909,262144
MapReduce Array,1288.887,14.162,262144
MapReduce Array,1294.176,17.190,262144
MapReduce Seq,2228.795,93.004,131072
MapReduce Seq,2277.074,64.762,131072
MapReduce Seq,2320.620,68.792,131072
MapReduce Seq,2286.958,42.783,131072
MapReduce Seq,2259.420,55.520,131072
MapReduce Unions,316.746,4.672,1048576
MapReduce Unions,318.839,2.374,1048576
MapReduce Unions,322.757,2.037,1048576
MapReduce Unions,316.760,5.884,1048576
MapReduce Unions,318.087,2.927,1048576
Sestoft Multiply,53.065,0.231,8388608
Sestoft Multiply,52.946,0.065,8388608
Sestoft Multiply,53.446,0.332,8388608
Sestoft Multiply,54.352,2.985,8388608
Sestoft Multiply,53.030,0.276,8388608
Primes,8452.111,238.768,32768
Primes,8883.235,89.874,32768
Primes,8803.849,167.795,32768
Primes,8413.988,361.921,32768
Primes,8829.361,140.399,32768
RandomizeArray,4153.095,179.540,65536
RandomizeArray,4244.465,177.662,65536
RandomizeArray,4349.842,133.790,65536
RandomizeArray,4284.013,194.005,65536
RandomizeArray,3253.890,42.284,131072
GameOfLife,202029.541,3874.481,2048
GameOfLife,202328.018,4789.254,2048
GameOfLife,207980.488,6170.934,2048
GameOfLife,207976.807,6626.907,2048
GameOfLife,205252.686,8132.406,2048
InvasionPercolation,53659.233,171.562,8192
InvasionPercolation,55098.845,1354.991,8192
InvasionPercolation,54081.780,1134.522,8192
InvasionPercolation,53786.570,376.806,8192
InvasionPercolation,53918.176,495.915,8192
FibonacciRecursive,159.921,0.751,2097152
FibonacciRecursive,159.547,0.268,2097152
FibonacciRecursive,160.214,1.395,2097152
FibonacciRecursive,166.486,13.792,2097152
FibonacciRecursive,158.896,0.731,2097152
FibonacciIterative,134.874,0.707,2097152
FibonacciIterative,133.604,1.079,2097152
FibonacciIterative,134.080,0.785,2097152
FibonacciIterative,134.082,0.916,2097152
FibonacciIterative,133.515,0.691,2097152
ScaleVector2D,78.820,0.324,4194304
ScaleVector2D,79.248,0.592,4194304
ScaleVector2D,78.620,0.452,4194304
ScaleVector2D,83.525,7.301,4194304
ScaleVector2D,78.624,0.523,4194304
ScaleVector3D,77.059,0.358,4194304
ScaleVector3D,77.153,0.446,4194304
ScaleVector3D,77.526,0.620,4194304
ScaleVector3D,77.677,0.542,4194304
ScaleVector3D,78.056,0.960,4194304
MultiplyVector2D,66.290,0.197,4194304
MultiplyVector2D,66.291,0.262,4194304
MultiplyVector2D,66.005,0.167,4194304
MultiplyVector2D,71.389,6.626,4194304
MultiplyVector2D,66.005,0.168,4194304
MultiplyVector3D,71.389,0.212,4194304
MultiplyVector3D,71.580,0.213,4194304
MultiplyVector3D,71.675,0.832,4194304
MultiplyVector3D,71.390,0.129,4194304
MultiplyVector3D,71.532,0.262,4194304
TranslateVector2D,53.096,0.416,8388608
TranslateVector2D,52.787,0.159,8388608
TranslateVector2D,55.591,4.608,8388608
TranslateVector2D,52.708,0.179,8388608
TranslateVector2D,53.072,0.369,8388608
TranslateVector3D,71.368,0.505,4194304
TranslateVector3D,70.866,0.213,4194304
TranslateVector3D,70.722,0.199,4194304
TranslateVector3D,70.722,0.104,4194304
TranslateVector3D,70.722,0.199,4194304
SubtractVector2D,85.854,0.196,4194304
SubtractVector2D,87.267,2.133,4194304
SubtractVector2D,86.495,0.608,4194304
SubtractVector2D,86.405,0.639,4194304
SubtractVector2D,86.788,0.747,4194304
SubtractVector3D,83.795,0.633,4194304
SubtractVector3D,83.451,0.265,4194304
SubtractVector3D,83.685,0.261,4194304
SubtractVector3D,83.493,0.211,4194304
SubtractVector3D,85.924,6.190,4194304
LengthVector2D,51.088,0.285,8388608
LengthVector2D,51.517,0.260,8388608
LengthVector2D,51.263,0.502,8388608
LengthVector2D,51.209,0.176,8388608
LengthVector2D,51.303,0.183,8388608
LengthVector3D,54.209,0.358,8388608
LengthVector3D,55.615,4.215,8388608
LengthVector3D,53.956,0.265,8388608
LengthVector3D,53.868,0.298,8388608
LengthVector3D,53.701,0.114,8388608
DotProductVector2D,41.939,0.436,8388608
DotProductVector2D,41.843,0.155,8388608
DotProductVector2D,41.723,0.271,8388608
DotProductVector2D,41.938,0.534,8388608
DotProductVector2D,44.148,4.695,8388608
DotProductVector3D,49.087,0.358,8388608
DotProductVector3D,48.903,0.242,8388608
DotProductVector3D,48.927,0.309,8388608
DotProductVector3D,48.778,0.290,8388608
DotProductVector3D,48.885,0.293,8388608
