Test,Mean,Deviation,Count
Sestoft Multiply,64.633,29.500,8388608
Primes,23718.285,10812.581,16384
RandomizeArray,8812.074,3976.963,65536
GameOfLife,293388.174,133885.196,2048
InvasionPercolation,82839.263,37779.046,4096
FibonacciRecursive,579.985,264.718,524288
FibonacciIterative,670.228,305.905,524288
ScaleVector2D,142.765,65.162,4194304
ScaleVector3D,138.190,63.074,4194304
MultiplyVector2D,124.503,56.818,4194304
MultiplyVector3D,131.798,60.155,4194304
TranslateVector2D,129.607,59.155,4194304
TranslateVector3D,143.861,65.661,4194304
SubtractVector2D,154.871,70.678,2097152
SubtractVector3D,154.609,70.564,2097152
LengthVector2D,93.900,42.608,4194304
LengthVector3D,91.744,41.873,4194304
DotProductVector2D,58.458,26.679,8388608
DotProductVector3D,72.345,33.020,4194304
